ParamValue,Train MSE,Test MSE
1,0.0010907836326483735,0.0011889784094238083
2,0.00100742672750026,0.001087617443967047
3,0.000998033857610597,0.001074324602165167
4,0.000991434038331677,0.001070588152156027
5,0.0020339471478628573,0.0010717437135829785
6,0.0017016859604486758,0.0010645517482420967
7,0.0015054708858383266,0.0010703072780524029
8,0.0013800360893304118,0.0010594215427264097
9,0.0012904240312616236,0.0010485980076629761
10,0.0012225997144573097,0.0010449427657936653
11,0.0011782217223572588,0.001040217297959753
12,0.0011383104086657874,0.0010325672239834688
13,0.0011112976875620596,0.001036033321509478
14,0.0011204977716332014,0.001038508100792307
15,0.0011007613986836716,0.001041186890720573
16,0.0010838074726274166,0.0010410320965392192
17,0.001070459648905574,0.0010434081429563748
18,0.001060631377193209,0.0010474131512209959
19,0.0010512130528049506,0.0010473204858519529
20,0.001041902019896808,0.0010476317886673936
21,0.0010325485315462856,0.0010449894483552983
22,0.001025678867463353,0.001043911091287394
23,0.0010190698721921653,0.0010434749482745801
24,0.0010145200111478848,0.0010449960155978007
25,0.0010106608101784766,0.00104364638778649
26,0.0010052901089563325,0.0010402341765685169
27,0.0010015169584626823,0.0010392686877626924
28,0.0009973487604064484,0.001038096521554115
29,0.0009952741987787842,0.001038374651993035
30,0.000992609021105642,0.0010377482047424955
