Test #:	PyGasope		Time:
1		0.0000000		9.35s
2		0.0000000		9.29s
3		0.0000000		9.88s
4		0.0000004		40.20s
5		0.0000000		8.54s
6		0.0000000		9.65s
7		0.0000000		10.99s
8		0.0000000		9.23s
9		0.0000004		18.12s
10		0.0000000		9.42s
11		0.0000004		43.46s
12		0.0000000		10.56s
13		0.0000000		9.10s
14		0.0000000		9.09s
15		0.0000000		11.00s
16		0.0000004		22.36s
17		0.0000000		9.91s
18		0.0000000		29.94s
19		0.0000000		9.61s
20		0.0000000		9.44s
21		0.0000000		9.62s
22		0.0000000		8.89s
23		0.0000000		26.69s
24		0.0000000		9.74s
25		0.0000000		9.42s
26		0.0000000		9.84s
27		0.0000004		47.64s
28		0.0000000		10.04s
29		0.0000000		9.31s
30		0.0000000		9.24s
